[2026-08-29T22:07:50.615+03:00] INFO    INIT                   -            BUILD_LOG_OPEN | build_id=20260829-220750-b778eecb
[2026-08-29T22:07:50.620+03:00] INFO    PREFLIGHT              -            PHASE_START
[2026-08-29T22:07:50.628+03:00] INFO    PREFLIGHT              -            ENGINE | engine=HEXA_VIDEO_BUILDER_V31_0_25_PREMIUM_MOTION_INTERACTION_DIRECTOR version=31.0.25 downloads_during_build=False build_id=20260829-220750-b778eecb project_cache=C:\Users\INTEL CENTER\Documents\GitHub\Montagetools\.hexa_real_build_patched\887ecb53d354_6332a4da1726\cache
[2026-08-29T22:07:51.337+03:00] PASS    PREFLIGHT              -            VOICE_OVER_PROBED | duration_seconds=99.32 sha256=6332a4da17261e4a05ca7f5206370f372f31c72764cbc531e972d8c985d7a030
[2026-08-29T22:07:51.434+03:00] INFO    PACKAGE_INGEST         -            PHASE_START
[2026-08-29T22:07:56.895+03:00] PASS    PACKAGE_INGEST         -            PACKAGE_VALIDATED | scene_count=49 package_sha256=887ecb53d354acb534bb6fb5f60a0675164751ae53070084a79adb7fdc1a6820 project_id=HEXA_INSUFFICIENT_BALANCE_AR
[2026-08-29T22:07:56.907+03:00] INFO    AUDIO_PREP             -            PHASE_START
[2026-08-29T22:07:57.229+03:00] PASS    AUDIO_PREP             -            VOICE_PCM_READY | path=C:\Users\INTEL CENTER\Documents\GitHub\Montagetools\.hexa_real_build_patched\887ecb53d354_6332a4da1726\cache\audio\voice_16k_mono.wav
[2026-08-29T22:07:57.366+03:00] INFO    ALIGNMENT              -            PHASE_START
[2026-08-29T22:07:59.021+03:00] INFO    ALIGNMENT              -            WHISPER_LOAD | model_path=C:\Users\INTEL CENTER\AppData\Local\HEXA\VideoBuilderV26\models\faster-whisper-small device=cpu compute_type=int8
[2026-08-29T22:10:36.265+03:00] PASS    ALIGNMENT              -            ALIGNMENT_RESOLVED | method=FASTER_WHISPER_OBSERVED_WORDS+EXACT_CANONICAL_RECONCILIATION_V20 canonical_word_direct_match_ratio=0.9648 observed_word_count=228 canonical_word_count=227 internal_trigger_support=True scene_timing_projection=MONOTONIC_CONTINUOUS_WORD_BOUNDARY_V20_0_3 raw_adjacent_word_max_overlap_seconds=0.001 raw_adjacent_word_max_gap_seconds=0.62 projected_scene_min_duration_seconds=0.4 projected_scene_max_duration_seconds=4.22 projected_scene_continuous=True
[2026-08-29T22:10:36.332+03:00] PASS    ALIGNMENT              -            ALIGNMENT_QA_PASS | scene_count=49 projection=MONOTONIC_CONTINUOUS_WORD_BOUNDARY_V20_0_3
[2026-08-29T22:10:36.352+03:00] INFO    VISION_RECONSTRUCTION  -            PHASE_START
[2026-08-29T22:10:36.359+03:00] INFO    VISION_RECONSTRUCTION  SCENE_001    SCENE_START
[2026-08-29T22:10:42.320+03:00] PASS    VISION_RECONSTRUCTION  SCENE_001    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.444 reconstruction_psnr=46.326 edge_touching=True isolated_worker=True progress=1/49
[2026-08-29T22:10:43.009+03:00] INFO    VISION_RECONSTRUCTION  SCENE_002    SCENE_START
[2026-08-29T22:10:50.304+03:00] PASS    VISION_RECONSTRUCTION  SCENE_002    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.5136 reconstruction_psnr=44.614 edge_touching=False isolated_worker=True progress=2/49
[2026-08-29T22:10:51.005+03:00] INFO    VISION_RECONSTRUCTION  SCENE_003    SCENE_START
[2026-08-29T22:10:57.672+03:00] PASS    VISION_RECONSTRUCTION  SCENE_003    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3586 reconstruction_psnr=46.102 edge_touching=False isolated_worker=True progress=3/49
[2026-08-29T22:10:57.675+03:00] INFO    VISION_RECONSTRUCTION  SCENE_004    SCENE_START
[2026-08-29T22:11:03.208+03:00] PASS    VISION_RECONSTRUCTION  SCENE_004    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3599 reconstruction_psnr=45.98 edge_touching=False isolated_worker=True progress=4/49
[2026-08-29T22:11:03.305+03:00] INFO    VISION_RECONSTRUCTION  SCENE_005    SCENE_START
[2026-08-29T22:11:08.669+03:00] PASS    VISION_RECONSTRUCTION  SCENE_005    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.422 reconstruction_psnr=49.046 edge_touching=True isolated_worker=True progress=5/49
[2026-08-29T22:11:08.729+03:00] INFO    VISION_RECONSTRUCTION  SCENE_006    SCENE_START
[2026-08-29T22:11:12.270+03:00] PASS    VISION_RECONSTRUCTION  SCENE_006    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.3484 reconstruction_psnr=47.358 edge_touching=False isolated_worker=True progress=6/49
[2026-08-29T22:11:12.284+03:00] INFO    VISION_RECONSTRUCTION  SCENE_007    SCENE_START
[2026-08-29T22:11:16.768+03:00] PASS    VISION_RECONSTRUCTION  SCENE_007    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.4073 reconstruction_psnr=46.299 edge_touching=False isolated_worker=True progress=7/49
[2026-08-29T22:11:16.887+03:00] INFO    VISION_RECONSTRUCTION  SCENE_008    SCENE_START
[2026-08-29T22:11:22.105+03:00] PASS    VISION_RECONSTRUCTION  SCENE_008    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3375 reconstruction_psnr=46.913 edge_touching=False isolated_worker=True progress=8/49
[2026-08-29T22:11:22.243+03:00] INFO    VISION_RECONSTRUCTION  SCENE_009    SCENE_START
[2026-08-29T22:11:27.392+03:00] PASS    VISION_RECONSTRUCTION  SCENE_009    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.518 reconstruction_psnr=44.284 edge_touching=True isolated_worker=True progress=9/49
[2026-08-29T22:11:27.407+03:00] INFO    VISION_RECONSTRUCTION  SCENE_010    SCENE_START
[2026-08-29T22:11:32.610+03:00] PASS    VISION_RECONSTRUCTION  SCENE_010    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.6126 reconstruction_psnr=44.491 edge_touching=False isolated_worker=True progress=10/49
[2026-08-29T22:11:32.708+03:00] INFO    VISION_RECONSTRUCTION  SCENE_011    SCENE_START
[2026-08-29T22:11:36.412+03:00] PASS    VISION_RECONSTRUCTION  SCENE_011    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4747 reconstruction_psnr=43.645 edge_touching=False isolated_worker=True progress=11/49
[2026-08-29T22:11:36.518+03:00] INFO    VISION_RECONSTRUCTION  SCENE_012    SCENE_START
[2026-08-29T22:11:40.105+03:00] PASS    VISION_RECONSTRUCTION  SCENE_012    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=1.4284 reconstruction_psnr=38.527 edge_touching=False isolated_worker=True progress=12/49
[2026-08-29T22:11:40.149+03:00] INFO    VISION_RECONSTRUCTION  SCENE_013    SCENE_START
[2026-08-29T22:11:46.316+03:00] PASS    VISION_RECONSTRUCTION  SCENE_013    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3531 reconstruction_psnr=46.814 edge_touching=True isolated_worker=True progress=13/49
[2026-08-29T22:11:46.354+03:00] INFO    VISION_RECONSTRUCTION  SCENE_014    SCENE_START
[2026-08-29T22:11:55.884+03:00] PASS    VISION_RECONSTRUCTION  SCENE_014    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3727 reconstruction_psnr=46.932 edge_touching=False isolated_worker=True progress=14/49
[2026-08-29T22:11:55.891+03:00] INFO    VISION_RECONSTRUCTION  SCENE_015    SCENE_START
[2026-08-29T22:12:01.120+03:00] PASS    VISION_RECONSTRUCTION  SCENE_015    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4372 reconstruction_psnr=46.108 edge_touching=False isolated_worker=True progress=15/49
[2026-08-29T22:12:01.150+03:00] INFO    VISION_RECONSTRUCTION  SCENE_016    SCENE_START
[2026-08-29T22:12:04.636+03:00] PASS    VISION_RECONSTRUCTION  SCENE_016    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.8256 reconstruction_psnr=40.051 edge_touching=False isolated_worker=True progress=16/49
[2026-08-29T22:12:05.803+03:00] INFO    VISION_RECONSTRUCTION  SCENE_017    SCENE_START
[2026-08-29T22:12:11.787+03:00] PASS    VISION_RECONSTRUCTION  SCENE_017    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.8815 reconstruction_psnr=41.261 edge_touching=True isolated_worker=True progress=17/49
