[2026-08-29T22:08:52.859+03:00] PASS    VISION_RECONSTRUCTION  SCENE_009    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.518 reconstruction_psnr=44.284 edge_touching=True isolated_worker=True progress=9/49
[2026-08-29T22:08:52.862+03:00] INFO    VISION_RECONSTRUCTION  SCENE_010    SCENE_START
[2026-08-29T22:09:01.606+03:00] PASS    VISION_RECONSTRUCTION  SCENE_010    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.6126 reconstruction_psnr=44.491 edge_touching=False isolated_worker=True progress=10/49
[2026-08-29T22:09:01.610+03:00] INFO    VISION_RECONSTRUCTION  SCENE_011    SCENE_START
[2026-08-29T22:09:07.840+03:00] PASS    VISION_RECONSTRUCTION  SCENE_011    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4747 reconstruction_psnr=43.645 edge_touching=False isolated_worker=True progress=11/49
[2026-08-29T22:09:08.625+03:00] INFO    VISION_RECONSTRUCTION  SCENE_012    SCENE_START
[2026-08-29T22:09:14.713+03:00] PASS    VISION_RECONSTRUCTION  SCENE_012    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=1.4284 reconstruction_psnr=38.527 edge_touching=False isolated_worker=True progress=12/49
[2026-08-29T22:09:14.716+03:00] INFO    VISION_RECONSTRUCTION  SCENE_013    SCENE_START
[2026-08-29T22:09:23.990+03:00] PASS    VISION_RECONSTRUCTION  SCENE_013    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3531 reconstruction_psnr=46.814 edge_touching=True isolated_worker=True progress=13/49
[2026-08-29T22:09:23.995+03:00] INFO    VISION_RECONSTRUCTION  SCENE_014    SCENE_START
[2026-08-29T22:09:32.705+03:00] PASS    VISION_RECONSTRUCTION  SCENE_014    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.3727 reconstruction_psnr=46.932 edge_touching=False isolated_worker=True progress=14/49
[2026-08-29T22:09:32.836+03:00] INFO    VISION_RECONSTRUCTION  SCENE_015    SCENE_START
[2026-08-29T22:09:38.899+03:00] PASS    VISION_RECONSTRUCTION  SCENE_015    SCENE_VISION_ANALYZED | mode=GROUPED_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=2 reconstruction_mae=0.4372 reconstruction_psnr=46.108 edge_touching=False isolated_worker=True progress=15/49
[2026-08-29T22:09:38.942+03:00] INFO    VISION_RECONSTRUCTION  SCENE_016    SCENE_START
[2026-08-29T22:09:45.134+03:00] PASS    VISION_RECONSTRUCTION  SCENE_016    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=1 expected_units=1 reconstruction_mae=0.8256 reconstruction_psnr=40.051 edge_touching=False isolated_worker=True progress=16/49
[2026-08-29T22:09:45.139+03:00] INFO    VISION_RECONSTRUCTION  SCENE_017    SCENE_START
[2026-08-29T22:09:54.607+03:00] PASS    VISION_RECONSTRUCTION  SCENE_017    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=BORDER_CONNECTED_WHITE_STAGE_MATTE major_groups=2 expected_units=2 reconstruction_mae=0.8815 reconstruction_psnr=41.261 edge_touching=True isolated_worker=True progress=17/49
[2026-08-29T22:09:54.610+03:00] INFO    VISION_RECONSTRUCTION  SCENE_018    SCENE_START
[2026-08-29T22:09:59.942+03:00] PASS    VISION_RECONSTRUCTION  SCENE_018    SCENE_VISION_ANALYZED | mode=CLEAN_LAYERED source_mode=NATIVE_ALPHA_AUTHORITY major_groups=1 expected_units=1 reconstruction_mae=0.598 reconstruction_psnr=44.506 edge_touching=True isolated_worker=True progress=18/49
[2026-08-29T22:09:59.945+03:00] INFO    VISION_RECONSTRUCTION  SCENE_019    SCENE_START
